compute_budget,parameters,dataset_tokens,final_loss
6e+18,762093419,1312175089.1277542,5.899930270214304
1e+19,806647749,2066164157.4439783,5.617943423092358
3e+19,1536852354,3253402961.5703735,5.107176953205009
6e+19,1952041776,5122841182.472726,4.830586005050577
1e+20,3253402960,5122841182.472726,4.6528929644335255
3e+20,5903836027,8469069901.558091,4.311218819265305
6e+20,6971055968,14345028996.903902,4.121240846441071
1e+21,6859328563,24297810658.27429,4.002834749948777
3e+21,12148905329,41155971378.46459,3.773187514504335
